SHORT, FULL
S, SOUTH
N, NOTH
E, EAST
W, WEST
ALLEE, ALLEY
ALY, ALLEY
ALLY, ALLEY
ANX, ALLEY
ANNEX, ANEX
ANNX, ANEX
ANX, ANEX
ARCADE,ARC
AV,AVENUE
AVE,AVENUE
AVEN,AVENUE
AVENU,AVENUE
AVN,AVENUE
AVNUE,AVENUE
BYU,BAYOU
BAYOO, BAYOU
BCH, BEACH
BND, BEND
BLF,BLUFF
BLUF,BLUFF
BLFS,BLUFFS
BOT,BOTTOM
BTM,BOTTOM
BOTTM,BOTTOM
BLVD,BOULEVARD
BOUL,BOULEVARD
BOULV,BOULEVARD
BR,BRANCH
BRNCH,BRANCH
BRDGE, BRIDGE
BRG, BRIDGE
BRK, BROOK
BRKS, BROOKS
BG, BURG
BGS, BURGS
BYP,BYPASS
BYPA,BYPASS
BYPAS,BYPASS
BYPASS,BYPASS
BYPS,BYPASS
CP, CAMP
CMP, CAMP
CANYN,CANYON
CYN,CANYON
CNYN,CANYON
CPE, CAPE
CSWY,CAUSEWAY
CAUSWA,CAUSEWAY
CSWY,CAUSEWAY
CEN,CENTER
CTR,CENTER
CENT,CENTER
CENTR,CENTER
CENTRE,CENTER
CNTER,CENTER
CNTR,CENTER
CTR,CENTER
CTRS,CENTERS
CIR,CIRCLE
CIRC,CIRCLE
CIRCL,CIRCLE
CRCL,CIRCLE
CRCLE,CIRCLE
CIRS,CIRCLES
CLF, CLIFF
CLFS, CLIFFS
CLB, CLUB
CMN, COMMON
CMNS, COMMONS
COR, CORNER
CORS, CORNERS
CRSE, COURSE
CT, COURT
CTS, COURTS
CV, COVE
CVS, COVES
CRK, CREEK
CRES,CRESCENT
CRSENT,CRESCENT
CRSNT,CRESCENT
CREST,CRESCENT
CRST, CREST
XING,CROSSING
CRSSNG,CROSSING
XRD,CROSSROAD
XRDS,CROSSROADS
CURV, CURVE
DL, DALE
DM, DAM
DIV,DIVIDE
DV, DIVIDE
DVD, DIVIDE
DR, DRIVE
DRIV, DRIVE
DRV, DRIVE
DRS, DRIVES
EST, ESTATE
ESTS, ESTATES
EXP, EXPRESSWAY
EXPY, EXPRESSWAY
